id,category,subcategory,file,path,line,issue,confidence,priority,priority_label,effort_hours,remediation,notes,status,evidence
1,Dependency Debt,Security Vulnerability,python-future,, ,Arbitrary code execution via unintended import of test.py,High,P1,Critical,8,Remove or update package to a patched version; restrict environment write permissions; add pip-audit to CI,Found by pip-audit in local environment; appears in venv; verify runtime usage before removal,Open,"pip-audit: CVE-2025-50817"
2,Dependency Debt,Security Vulnerability,python-ecdsa,, ,Timing side-channel vulnerability impacting P-256 operations,High,P1,Critical,6,Assess usage of ecdsa in project; update/replace library or isolate signing operations; add pip-audit CI; rotate keys if used in production,Open,"pip-audit: GHSA-wj6h-64fc-37mp / CVE-2024-23342"
3,Dependency Debt,Security Vulnerability,youtube-dl,, ,Path traversal / arbitrary filename risk in older youtube-dl,High,P1,Critical,4,Replace with maintained fork (yt-dlp) or upgrade to patched version; remove if not used; add CI audit,Open,"pip-audit advisory for youtube-dl"
4,Architectural Debt,God Module,transcription_cache.py,src/cache/transcription_cache.py,,File > 800 LOC; many responsibilities (eviction, compression, policies),High,P2,High,80,Split into smaller modules: policy strategies, serialization, public API; add unit tests for each piece,In Progress,"Eviction strategies and compression extracted to src/cache/eviction.py and src/cache/compression.py; cache tests passing"
5,Architectural Debt,God Module,backends.py,src/cache/backends.py,,File > 700 LOC; multiple backend implementations,High,P2,High,60,Extract each backend to its own module; add interface test ensuring `BaseCache` protocol compliance; add tests for eviction logic,Open,"LOC scan: 777 lines; vulture flagged some unused imports earlier"
6,Code Quality,High Cyclomatic Complexity,DeepgramConfig.get_transcription_options,src/config/providers/deepgram.py,129,Function CC=17 (radon),High,P2,High,12,Refactor to smaller helper functions; unit test behavior and defaults; consider mapping-driven config,Open,"radon cc: CC=17"
7,Code Quality,High Cyclomatic Complexity,TranscriptionCache._evict_one,src/cache/transcription_cache.py,547,Method CC=13 (radon),High,P2,Medium,16,Extract eviction strategies and test each strategy separately; add benchmarks for eviction cost,Completed,"Eviction selection moved to src/cache/eviction.py and wired; contracts verified via tests/cache/test_cache_contracts.py"
8,Code Quality,High Cyclomatic Complexity,ConfigValidator.validate,src/config/validation.py,144,Method CC=13 (radon),High,P2,Medium,12,Simplify validation rules into composable rule objects and unit test per rule,Open,"radon cc: CC=13"
9,Duplication,Internal duplicate blocks,audio_extraction.py vs audio_extraction_async.py,src/services/audio_extraction.py; src/services/audio_extraction_async.py,,Duplicated extraction/normalize blocks (~19 lines each),Medium,P3,Medium,10,Extract shared FFmpeg pipeline helpers used by sync and async variants; add unit tests; prefer one implementation calling shared core,Open,"jscpd: multiple clones between audio_extraction.py and audio_extraction_async.py"
10,Duplication,Retry logic duplication,retry.py,src/utils/retry.py,,Multiple repeated retry blocks/functions inside same file (jscpd),Medium,P3,Medium,8,Consolidate into single robust Retry utility with tests and replace duplicates,Open,"jscpd: several clones in src/utils/retry.py"
11,Duplication,UI sanitize duplication,console sanitize blocks,src/ui/console.py,,Sanitize/formatting logic duplicated between trackers,Low,P3,Low,6,Extract sanitize helpers and centralize JSON formatting behavior,Open,"jscpd: duplicate sanitize blocks; radon shows complexity in sanitize methods"
12,Dead Code,High-confidence unused variable,signum in executors.py,src/orchestration/workflow_engine/executors.py,110,Unused `signum` variable (100% vulture confidence),Low,P3,Low,1,Remove unused variable or refactor signal handler to use parameter; run tests,Open,"vulture: unused variable 'signum' (100% confidence)"
